latravel,motorway,other
E06000001,0,1
E06000002,0,1
E06000003,0,1
E06000004,0,1
E06000005,0,1
E06000006,0,1
E06000007,0,1
E06000008,0,1
E06000009,0,1
E06000010,0,1
E06000011,0,1
E06000012,0,1
E06000013,0,1
E06000014,0,1
E06000015,0,1
E06000016,0,1
E06000017,0,1
E06000018,0,1
E06000019,0,1
E06000020,0,1
E06000021,4.4562867370499554e-4,0.999554371326295
E06000022,0,1
E06000023,0.0037464035235721237,0.9962535964764279
E06000024,0,1
E06000025,0,1
E06000026,0,1
E06000027,0,1
E06000028,0,1
E06000029,0,1
E06000030,0,1
E06000031,0,1
E06000032,7.846443963480085e-4,0.999215355603652
E06000033,0,1
E06000034,0,1
E06000035,0,1
E06000036,0,1
E06000037,0,1
E06000038,0,1
E06000039,0,1
E06000040,8.653852942953238e-4,0.9991346147057046
E06000041,0,1
E06000042,0,1
E06000043,0,1
E06000044,0,1
E06000045,4.4922194654852237e-4,0.9995507780534515
E06000046,0,1
E06000047,0,1
E06000049,0,1
E06000050,6.15836439207781e-4,0.9993841635607922
E06000051,0,1
E06000052,0,1
E06000054,0,1
E06000055,0,1
E06000056,0,1
E06000057,0,1
E07000004,0,1
E07000005,0,1
E07000006,0,1
E07000007,0,1
E07000008,0,1
E07000009,0,1
E07000010,0,1
E07000011,0,1
E07000012,0,1
E07000026,0,1
E07000027,0,1
E07000028,0,1
E07000029,0,1
E07000030,0,1
E07000031,0,1
E07000032,0,1
E07000033,0,1
E07000034,0,1
E07000035,0,1
E07000036,0,1
E07000037,0,1
E07000038,0,1
E07000039,0,1
E07000040,0,1
E07000041,0,1
E07000042,0,1
E07000043,0,1
E07000044,0,1
E07000045,0,1
E07000046,0,1
E07000047,0,1
E07000048,0,1
E07000049,0,1
E07000050,0,1
E07000051,0,1
E07000052,0,1
E07000053,0,1
E07000061,0,1
E07000062,0,1
E07000063,0,1
E07000064,0,1
E07000065,0,1
E07000066,0,1
E07000067,0,1
E07000068,0,1
E07000069,0,1
E07000070,0,1
E07000071,0,1
E07000072,0,1
E07000073,0,1
E07000074,0,1
E07000075,0,1
E07000076,0,1
E07000077,0,1
E07000078,0,1
E07000079,0,1
E07000080,0,1
E07000081,0,1
E07000082,0,1
E07000083,0,1
E07000084,0,1
E07000085,0,1
E07000086,0,1
E07000087,0,1
E07000088,0,1
E07000089,0,1
E07000090,0,1
E07000091,0,1
E07000092,7.013564904576212e-4,0.9992986435095423
