lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000188
E06000022,0.9486760678978415,0,0,0,0.05132393210215837,0
E06000024,0,0.01577445477618886,0.969282495766065,0,0,0.014943049457746254
E06000025,0,0.009857488784894893,0,0.9901425112151051,0,0
